id,name,url,unit,status,province,prefecture,county,admin_level
1200000026,天津市生态环境局,http://sthj.tj.gov.cn/,天津市生态环境局,正常,天津市,,,province
1200000029,天津住建网,http://zfcxjs.tj.gov.cn/,天津市住房和城乡建设委员会,正常,天津市,,,province
1200000030,天津市水务局,http://swj.tj.gov.cn,天津市水务局,正常,天津市,,,province
1200000032,天津市工业和信息化局,http://gyxxh.tj.gov.cn/,天津市工业和信息化局,正常,天津市,,,province
1200000038,天津市农业农村委员会,http://nync.tj.gov.cn,天津市农业农村委员会,正常,天津市,,,province
1200000039,天津市民政局,http://mz.tj.gov.cn/,天津市民政局,正常,天津市,,,province
1200000042,天津市知识产权局,http://zscq.tj.gov.cn/,天津市知识产权局,正常,天津市,,,province
1200000043,天津市司法局,http://sf.tj.gov.cn ,天津市司法局,正常,天津市,,,province
1200000044,天津市文化和旅游局,http://whly.tj.gov.cn,天津市文化和旅游局,正常,天津市,,,province
1200000045,天津市卫生健康委员会,http://wsjk.tj.gov.cn/,天津市卫生健康委员会,正常,天津市,,,province
1200000047,天津市市场监督管理委员会,scjg.tj.gov.cn,天津市市场监督管理委员会,正常,天津市,,,province
1200000050,天津市食品安全网,http://spaq.scjg.tj.gov.cn/,天津市食品安全委员会办公室,正常,天津市,,,province
1200000052,天津政务网,http://www.tj.gov.cn/,天津市人民政府办公厅,正常,天津市,,,province
1200000053,天津市公安局,http://ga.tj.gov.cn,天津市公安局,正常,天津市,,,province
1200000055,天津市审计局,http://sj.tj.gov.cn,天津市审计局办公室,正常,天津市,,,province
1200000065,天津市商务局,http://shangwuju.tj.gov.cn/,天津市商务局,正常,天津市,,,province
1200000074,天津市交通运输委员会,http://jtys.tj.gov.cn,天津市交通运输委员会,正常,天津市,,,province
1200000077,天津市规划和自然资源局,http://ghhzrzy.tj.gov.cn/,天津市规划和自然资源局,正常,天津市,,,province
1200000078,天津市市场主体信用信息公示系统,credit.scjg.tj.gov.cn,天津市市场和质量监督管理委员会,例外,天津市,,,province
1200000079,天津市粮食和物资储备局,lswz.tj.gov.cn,天津市粮食和物资储备局,正常,天津市,,,province
1200000083,信用中国（天津）,http://credit.fzgg.tj.gov.cn/,天津市发展和改革委员会,正常,天津市,,,province
1200000084,天津市民族和宗教事务委员会,http://mzzj.tj.gov.cn,天津市民族和宗教事务委员会,正常,天津市,,,province
